Data_Registro,Tensao_Fase_RS_V,Tensao_Fase_ST_V,Tensao_Fase_TR_V,Corrente_Fase_R_A,Corrente_Fase_S_A,Corrente_Fase_T_A,Demanda_kW,Potencia-Ativa_kW
2022-07-27 07:47:35.437,434.0,436.0,440.0,183.0,184.0,206.0,749.0,-26766.0
2022-07-27 08:03:40.410,437.0,438.0,440.0,147.0,136.0,139.0,1183.0,-26734.0
2022-07-27 09:07:18.803,433.0,436.0,442.0,314.0,336.0,365.0,1546.0,-26635.0
2022-07-27 09:33:29.397,427.0,429.0,434.0,532.0,588.0,594.0,929.0,-26587.0
2022-07-27 10:27:36.450,442.0,443.0,445.0,120.0,109.0,112.0,876.0,-26503.0
2022-07-27 14:05:33.150,439.0,439.0,442.0,198.0,195.0,203.0,750.0,-26198.0
2022-07-27 15:05:22.567,442.0,444.0,444.0,61.0,61.0,70.0,799.0,-26119.0
2022-07-27 15:55:29.850,437.0,438.0,441.0,199.0,196.0,203.0,1106.0,-26015.0
2022-07-27 16:20:57.387,425.0,428.0,431.0,574.0,630.0,642.0,1550.0,-25945.0
2022-07-27 17:36:02.683,439.0,440.0,442.0,201.0,221.0,213.0,1451.0,-25753.0
2022-07-27 18:36:02.807,425.0,429.0,436.0,545.0,599.0,626.0,1546.0,-25586.0
2022-07-27 19:36:02.950,439.0,440.0,442.0,197.0,189.0,194.0,1777.0,-25420.0
2022-07-27 21:00:35.200,428.0,431.0,437.0,540.0,604.0,620.0,1544.0,-25189.0
2022-07-27 22:00:35.033,441.0,441.0,444.0,156.0,144.0,141.0,1810.0,-25018.0
2022-07-27 23:00:35.157,429.0,433.0,437.0,569.0,639.0,629.0,1647.0,-24848.0
2022-07-28 00:29:41.943,439.0,441.0,442.0,156.0,163.0,144.0,1797.0,-24600.0
2022-07-28 01:29:42.110,426.0,429.0,434.0,546.0,616.0,630.0,1546.0,-24433.0
2022-07-28 02:29:41.900,444.0,444.0,446.0,152.0,165.0,141.0,1803.0,-24263.0
2022-07-28 03:29:41.983,427.0,428.0,435.0,567.0,634.0,625.0,1639.0,-24093.0
2022-07-28 04:29:42.117,442.0,443.0,445.0,140.0,144.0,147.0,1727.0,-23924.0
2022-07-28 05:29:42.200,433.0,435.0,439.0,323.0,356.0,368.0,1716.0,-23751.0
2022-07-28 06:29:42.067,437.0,439.0,441.0,207.0,212.0,214.0,1611.0,-23585.0
2022-07-28 08:06:06.807,437.0,438.0,441.0,290.0,299.0,268.0,1702.0,-23311.0
2022-07-28 09:27:14.007,429.0,431.0,436.0,536.0,597.0,596.0,1533.0,-23082.0
2022-07-28 12:35:29.537,441.0,442.0,444.0,172.0,178.0,156.0,1460.0,-22560.0
2022-07-28 13:35:29.590,422.0,424.0,430.0,586.0,651.0,638.0,785.0,-22466.0
2022-07-28 16:40:19.653,445.0,446.0,446.0,73.0,83.0,92.0,746.0,-22087.0
2022-07-28 17:11:52.333,444.0,444.0,446.0,146.0,153.0,135.0,724.0,-22049.0
2022-07-28 18:11:52.437,440.0,440.0,442.0,173.0,158.0,162.0,722.0,-21977.0
2022-07-28 19:11:52.513,447.0,447.0,448.0,137.0,146.0,129.0,709.0,-21906.0
2022-07-28 20:11:52.147,440.0,440.0,444.0,266.0,262.0,252.0,1487.0,-21759.0
2022-07-28 21:11:52.233,440.0,441.0,443.0,234.0,231.0,228.0,1615.0,-21593.0
2022-07-28 22:11:52.333,430.0,433.0,438.0,577.0,629.0,628.0,1584.0,-21423.0
2022-07-28 23:11:52.440,446.0,446.0,447.0,143.0,157.0,128.0,1823.0,-21253.0
2022-07-29 00:11:52.537,425.0,427.0,432.0,610.0,686.0,673.0,1547.0,-21085.0
2022-07-29 01:11:52.400,441.0,442.0,444.0,164.0,169.0,162.0,1835.0,-20915.0
2022-07-29 02:11:52.497,431.0,433.0,438.0,486.0,545.0,547.0,1530.0,-20747.0
2022-07-29 03:11:52.573,443.0,443.0,445.0,142.0,142.0,136.0,1847.0,-20574.0
2022-07-29 04:11:52.650,440.0,441.0,444.0,234.0,236.0,227.0,1624.0,-20405.0
2022-07-29 05:11:52.757,427.0,431.0,436.0,580.0,638.0,642.0,1703.0,-20227.0
2022-07-29 06:11:52.617,445.0,446.0,447.0,106.0,116.0,128.0,1872.0,-20056.0
2022-07-29 08:28:50.030,447.0,446.0,448.0,117.0,113.0,105.0,549.0,-19855.0
2022-07-29 08:45:46.593,447.0,448.0,449.0,22.0,27.0,55.0,357.0,-19845.0
2022-07-29 09:11:09.280,447.0,448.0,448.0,94.0,118.0,102.0,344.0,-19830.0
